id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
276,현대오일뱅크,이케이에너지(주) 강산제2주유소,서울,성북구,서울 성북구 보국문로 52,1645,1575,1,1,0,0,0,0,37.60918500000000,127.01003140000000
277,GS칼텍스,이케이에너지㈜ 강산주유소,서울,성북구,서울 성북구 보문로 27 (보문동7가),1649,1579,1,1,0,0,0,1,37.57977890000000,127.02236270000000
278,현대오일뱅크,(주)성북주유소,서울,성북구,서울 성북구 보문로 142,1678,1618,1,1,0,0,0,0,37.58757749999999,127.01844700000000
279,S-OIL,신방주유소,서울,성북구,서울 성북구 안암로 111 (안암동5가),1679,1609,0,0,0,0,0,0,37.58555610000000,127.03184600000000
280,S-OIL,장위주유소,서울,성북구,서울 성북구 화랑로 110 (하월곡동),1685,1625,1,1,0,0,0,1,37.60464510000000,127.03939120000000
281,SK에너지,중앙에너비스 종암지점,서울,성북구,서울 성북구 종암로 58,1689,1599,1,1,0,0,0,1,37.59560860000000,127.03604730000000
282,GS칼텍스,지에스칼텍스(주) 종암주유소,서울,성북구,서울 성북구 종암로 145 (종암동),1689,1629,1,1,0,0,0,1,37.60276360000000,127.03206340000000
283,S-OIL,(주)신용 구도일주유소화랑로,서울,성북구,서울 성북구 화랑로 174,1693,1633,1,1,0,1,0,0,37.60686780000000,127.05006410000000
284,SK에너지,우리주유소,서울,성북구,서울 성북구 화랑로 292,1694,1639,1,1,0,1,0,1,37.61261180000000,127.06142480000000
285,S-OIL,신동방주유소,서울,성북구,서울 성북구 월계로 84 (장위동),1695,1655,1,0,0,0,0,0,37.61342930000000,127.03810420000000
286,현대오일뱅크,HD현대오일뱅크㈜직영 고대셀프주유소,서울,성북구,서울 성북구 종암로 12 (종암동),1695,1615,1,1,0,0,0,0,37.59165210000000,127.03667170000000
287,S-OIL,동일주유소,서울,성북구,서울특별시 성북구 보문로 85 (보문동5가),1698,1676,1,1,0,0,0,1,37.58270419999999,127.01919180000000
288,현대오일뱅크,HD현대오일뱅크㈜직영 북악셀프주유소,서울,성북구,서울 성북구 정릉로 218 (정릉동),1699,1615,1,1,0,0,0,0,37.60550010000000,127.00858180000000
289,현대오일뱅크,재정제2주유소 길음지점,서울,성북구,서울 성북구 삼양로 78 (길음동),1699,1629,0,0,0,0,0,0,37.61028320000000,127.02274430000000
290,SK에너지,SK에너지(주) 드림랜드주유소,서울,성북구,서울 성북구 월계로 128 (장위동),1699,1659,0,0,0,0,0,0,37.61658170000000,127.04144520000000
291,GS칼텍스,㈜명연에너지 효성주유소,서울,성북구,서울 성북구 화랑로 27,1709,1659,1,1,0,1,0,1,37.60312810000000,127.03517260000000
292,GS칼텍스,지에스칼텍스㈜ 화랑주유소,서울,성북구,서울 성북구 화랑로 185,1714,1689,0,0,0,0,0,0,37.60786909999999,127.05082100000000
293,현대오일뱅크,HD현대오일뱅크㈜직영 아리랑주유소,서울,성북구,서울 성북구 아리랑로 96 (정릉동),1737,0,0,1,0,0,0,0,37.60048800000000,127.01426640000000
294,S-OIL,삼선주유소,서울,성북구,서울 성북구 창경궁로 324,1745,1655,1,1,0,0,0,0,37.58798880000000,127.00557400000000
295,GS칼텍스,지에스칼텍스㈜ 세창주유소,서울,성북구,서울 성북구 동소문로 323,1804,1729,1,0,0,0,0,0,37.60878020000000,127.02950060000000
296,S-OIL,위례제일주유소,서울,송파구,서울 송파구 위례서로 260,1693,1634,1,1,0,0,0,0,37.48781530000000,127.14269530000000
297,S-OIL,위례드림주유소,서울,송파구,서울시 송파구 위례중앙로 10,1693,1634,1,1,0,0,0,1,37.47542740000000,127.12847070000000
298,SK에너지,남성대주유소,서울,송파구,서울 송파구 송파대로 52 (장지동),1693,1634,1,1,0,1,0,1,37.47538410000000,127.12758550000000
